,title,year,month,day,link,description,category
46,عبدالله حاجیانی,1398,1.0,6.0,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%AD%D8%A7%D8%AC%DB%8C%D8%A7%D9%86%DB%8C,,Death
47,ادمان آیوازیان,1399,1.0,6.0,https://fa.wikipedia.org/wiki/%D8%A7%D8%AF%D9%85%D8%A7%D9%86_%D8%A2%DB%8C%D9%88%D8%A7%D8%B2%DB%8C%D8%A7%D9%86,,Death
48,آزاده نامداری,1400,1.0,6.0,https://fa.wikipedia.org/wiki/%D8%A2%D8%B2%D8%A7%D8%AF%D9%87_%D9%86%D8%A7%D9%85%D8%AF%D8%A7%D8%B1%DB%8C,,Death
49,محمدباقر باقری‌نژادیان‌فرد,1400,1.0,6.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D8%A8%D8%A7%D9%82%D8%B1%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF%DB%8C%D8%A7%D9%86%E2%80%8C%D9%81%D8%B1%D8%AF,,Death
50,رضا تهرانچی,1401,1.0,6.0,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%D8%AA%D9%87%D8%B1%D8%A7%D9%86%DA%86%DB%8C,,Death
51,پرستو بخشی,1403,1.0,6.0,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D8%B3%D8%AA%D9%88_%D8%A8%D8%AE%D8%B4%DB%8C,,Death
52,ابوالفضل عابدینی,1404,1.0,6.0,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%81%D8%B6%D9%84_%D8%B9%D8%A7%D8%A8%D8%AF%DB%8C%D9%86%DB%8C,,Death
53,خلیل ثقفی,1323,1.0,7.0,https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D9%84_%D8%AB%D9%82%D9%81%DB%8C,,Death
54,جواد امامی,1337,1.0,7.0,https://fa.wikipedia.org/wiki/%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D9%85%D8%A7%D9%85%DB%8C,,Death
55,علی‌اکبر درخشانی,1357,1.0,7.0,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_%D8%AF%D8%B1%D8%AE%D8%B4%D8%A7%D9%86%DB%8C,,Death
56,عبدالرسول خیام‌پور,1358,1.0,7.0,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%B3%D9%88%D9%84_%D8%AE%DB%8C%D8%A7%D9%85%E2%80%8C%D9%BE%D9%88%D8%B1,,Death
57,منوچهر همایون‌پور,1385,1.0,7.0,https://fa.wikipedia.org/wiki/%D9%85%D9%86%D9%88%DA%86%D9%87%D8%B1_%D9%87%D9%85%D8%A7%DB%8C%D9%88%D9%86%E2%80%8C%D9%BE%D9%88%D8%B1,,Death
58,مسعود استیلی,1390,1.0,7.0,https://fa.wikipedia.org/wiki/%D9%85%D8%B3%D8%B9%D9%88%D8%AF_%D8%A7%D8%B3%D8%AA%DB%8C%D9%84%DB%8C,,Death
59,دانیل گورگیزنژاد,1399,1.0,7.0,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%DB%8C%D9%84_%DA%AF%D9%88%D8%B1%DA%AF%DB%8C%D8%B2%D9%86%DA%98%D8%A7%D8%AF,,Death
60,محمد ابوالحسنی,1400,1.0,7.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AD%D8%B3%D9%86%DB%8C,,Death
61,زهرا شجاعی,1403,1.0,7.0,https://fa.wikipedia.org/wiki/%D8%B2%D9%87%D8%B1%D8%A7_%D8%B4%D8%AC%D8%A7%D8%B9%DB%8C,,Death
62,قاسم غنی,1331,1.0,9.0,https://fa.wikipedia.org/wiki/%D9%82%D8%A7%D8%B3%D9%85_%D8%BA%D9%86%DB%8C,,Death
63,سید حسن حسینی,1383,1.0,9.0,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D8%AD%D8%B3%DB%8C%D9%86%DB%8C,,Death
64,محمدعلی ورشوچی,1390,1.0,9.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D9%88%D8%B1%D8%B4%D9%88%DA%86%DB%8C,,Death
65,غلامرضا اسلامی بیدگلی,1392,1.0,9.0,https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B1%D8%B6%D8%A7_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%A8%DB%8C%D8%AF%DA%AF%D9%84%DB%8C,,Death
66,حسین توفیق,1396,1.0,9.0,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D8%AA%D9%88%D9%81%DB%8C%D9%82,,Death
67,محمدتقی سپهر,1259,1.0,10.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%B3%D9%BE%D9%87%D8%B1,,Death
